	species	NumGI	GIBase	RepSize	Proportion	NumChromosome	NumPlasmid	BioSampleID
504	Psychrobacter arcticus	8.0	179997.0	2650701.0	6.7905433317450745	1	0	SAMN02598544
505	Desulfobacterium autotrophicum	17.0	379351.0	5589073.0	6.787368853475344	1	1	SAMN02603282
506	Taylorella equigenitalis	3.0	116281.0	1713991.5	6.776744057414078	7	0	SAMN02602972,SAMN02604145,SAMN06843504,SAMN06899385,SAMN06899366,SAMN06899359,SAMN06929898
507	Methylobacterium sp. C1	14.0	437392.0	6459145.0	6.771670244281557	1	0	SAMN05898468
508	Caldicellulosiruptor bescii	7.0	197691.0	2919718.0	6.770893627398262	1	2	SAMN02598462
509	[Brevibacterium] flavum	7.0	226058.0	3339820.0	6.768179043607185	2	0	SAMN03494310,SAMN05366914
510	Lactobacillus buchneri	6.0	169226.5	2503432.5	6.757776163193208	2	6	SAMN00713605,SAMN02603054
511	Chryseobacterium sp. IHB B 10212	12.0	327166.0	4843645.0	6.754541259733114	1	2	SAMN04524003
512	Dehalobacter sp. DCA	10.0	207289.0	3069953.0	6.752188062813991	1	0	SAMN02604247
513	Ethanoligenens harbinense	9.0	203137.0	3008576.0	6.751931810929822	4	0	SAMN00008641,SAMN08159212,SAMN07637938
514	Streptococcus dysgalactiae	7.0	145034.75	2149105.25	6.74811923712724	9	0	SAMD00060937,SAMN02603163,SAMD00060962,SAMEA3138428,SAMEA3542434,SAMEA3649038,SAMEA3614273,SAMEA3643308,SAMEA3930552
515	Rickettsia montanensis	4.0	86292.0	1279798.0	6.742626570755697	1	0	SAMN02603562
516	Bifidobacterium bifidum	7.2	148931.4	2209322.2	6.737617342199011	8	0	SAMN02603395,SAMN02603510,SAMN02603486,SAMD00061040,SAMN03271680,SAMN06140833,SAMN07484235,SAMD00078313
517	Mycobacterium yongonense	11.0	371484.0	5521023.0	6.7285356355153745	3	2	SAMN02603187,SAMN04390158,SAMN04390159
518	Mannheimia sp. USDA-ARS-USMARC-1261	6.0	160904.0	2393449.0	6.722683458055718	1	0	SAMN03081505
519	Rhodococcus sp. PBTS 1	10.0	285805.0	4251687.0	6.722155229206665	1	0	SAMN04519624
520	Janibacter indicus	11.0	228434.0	3401189.0	6.716298329789964	1	0	SAMN04226596
521	Streptococcus equi	5.0	142178.75	2112171.25	6.712355242988478	9	0	SAMN02603943,SAMEA2272197,SAMN02603034,SAMN02997653,SAMEA3542438,SAMEA3542451,SAMEA3597586,SAMEA3696439,SAMEA3662932
522	Piscirickettsia salmonis	18.1875	210414.375	3142140.75	6.705991455549491	19	74	SAMN02469424,SAMN03012752,SAMN03014721,SAMN04309069,SAMN04309076,SAMN04376258,SAMN04362159,SAMN04362160,SAMN04362173,SAMN04362174,SAMN04362175,SAMN04362177,SAMN04362178,SAMN04362179,SAMN04362180,SAMN04376232,SAMN04376290,SAMN04376266,SAMN04376257
523	Pandoraea apista	8.0	372475.3333333333	5559489.0	6.702162950154199	5	1	SAMN03278108,SAMN03481316,SAMN03699824,SAMN04316586,SAMN03996272
524	Sphingomonas sp. JJ-A5	8.0	226495.0	3381342.0	6.698375970250865	1	4	SAMN06050156
525	Trichormus azollae	23.0	358199.0	5354700.0	6.689431714195006	1	2	SAMN02598476
526	Desulfosporosinus acidiphilus	12.0	329571.0	4926837.0	6.689301878669824	1	2	SAMN02232014
527	Megasphaera elsdenii	11.0	167404.0	2504349.0	6.68453158884804	3	0	SAMN02953477,SAMN08639722,SAMN08639723
528	Bacillus sp.	4.0	282946.0	4233615.0	6.683319101996757	1	0	SAMEA2247639
529	[Haemophilus] parasuis	10.75	151891.0	2273375.25	6.682164244698839	6	0	SAMN02603313,SAMN02953022,SAMN02996424,SAMN04620679,SAMN06477788,SAMN07764636
530	Novosphingobium resinovorum	9.0	252002.0	3778345.0	6.669639749678762	1	4	SAMN05507135
531	Lutibacter profundi	5.0	197788.0	2966978.0	6.6663116477439335	1	0	SAMN04299808
532	Flammeovirgaceae bacterium 311	14.0	444262.0	6665617.0	6.664979401006688	1	0	SAMN05771114
533	Robiginitalea biformata	6.0	235182.0	3530383.0	6.6616568230699045	1	0	SAMN02603916
534	Bifidobacterium catenulatum	4.0	138450.0	2079525.0	6.657770404299058	1	0	SAMD00061042
535	Sinorhizobium meliloti	7.5	211159.2	3265446.8	6.6451067803303205	24	61	SAMEA3283068,SAMN00017103,SAMN00017059,SAMN02603056,SAMEA2272434,SAMN02603224,SAMN02603522,SAMN02952139,SAMEA3146337,SAMN07175169,SAMN07175165,SAMN07175168,SAMN07175164,SAMN07175161,SAMN07175163,SAMN07175166,SAMN07175160,SAMN07175167,SAMN07175162,SAMN06284128,SAMN06227501,SAMN06229775
536	Thermosipho africanus	8.0	133955.0	2016657.0	6.6424285339549565	1	0	SAMN02603170
537	Thioalkalivibrio paradoxus	10.0	249452.0	3756729.0	6.64013826922304	1	0	SAMN02256529
538	Draconibacterium orientale	9.0	340723.0	5132075.0	6.639088477857396	1	0	SAMN02725840
539	Immundisolibacter cernigliae	11.0	214962.0	3243537.0	6.627394723722899	1	0	SAMN04528780
540	Sulfurospirillum deleyianum	7.0	152842.0	2306351.0	6.6270051696381	1	0	SAMN00002613
541	Azospirillum lipoferum	8.5	208709.0	3149863.5	6.624831952337306	2	12	SAMD00060958,SAMEA2272642
542	Leptospira interrogans	8.428571428571429	176711.5	2624839.0	6.611976281070703	17	6	SAMN02603847,SAMN02603127,SAMN02603861,SAMN03375751,SAMN03259167,SAMN03780437,SAMN03780438,SAMN03853357,SAMN04875540
543	Bradyrhizobium sp.	9.0	498835.0	7547693.0	6.609105590277718	1	0	SAMEA3647810
544	Woeseia oceani	12.0	267887.0	4059891.0	6.5983791190453145	1	0	SAMN05285282
545	Enterococcus hirae	6.0	187795.5	2857111.0	6.598194810429005	3	2	SAMN02604142,SAMN04892752,SAMN04875571
546	Nocardia soli	15.0	481712.0	7310115.0	6.589663774099313	1	0	SAMN06019995
547	Bifidobacterium longum	7.722222222222222	162673.16666666666	2435141.111111111	6.586910407416113	20	8	SAMN02603675,SAMN02603512,SAMN02598380,SAMN02603181,SAMN02603469,SAMD00060951,SAMD00060953,SAMN02603656,SAMD00060952,SAMN02843216,SAMN03093230,SAMD00019943,SAMEA3158508,SAMN03271683,SAMN03271682,SAMN03785818,SAMN03785819,SAMN04254466,SAMN04576213,SAMN09691177
548	Acinetobacter sp. TGL-Y2	15.0	222689.0	3383728.0	6.581173191225773	1	2	SAMN04002505
549	Mycobacterium chimaera	7.0	384543.0	5852822.0	6.57021518850223	8	26	SAMN04032872,SAMN05824346,SAMN04526974,SAMN04525300,SAMN01174703,SAMN07274465,SAMN07528780,SAMEA4521417
550	Burkholderia cenocepacia	6.066666666666666	179411.56666666668	2773550.8666666667	6.567628028924501	44	6	SAMEA1705928,SAMN02598326,SAMN02598404,SAMN00113327,SAMEA3138403,SAMN02796386,SAMN02796570,SAMN03323790,SAMN04570263,SAMN04574071,SAMN03449602,SAMN05001925,SAMN05001933,SAMN05001912,SAMN05756084,SAMN06842015
551	Alicycliphilus denitrificans	13.5	320429.5	4816138.0	6.567084862571091	2	3	SAMN00015356,SAMN00713606
552	Vibrio mimicus	6.0	149459.0	2230678.0	6.56290323564355	4	0	SAMN03996328,SAMN05356867
553	Macrococcus caseolyticus	4.0	137839.0	2102324.0	6.556506038079763	2	8	SAMD00060930,SAMN06829096
554	Pontibacter korlensis	8.0	357587.0	5462537.0	6.546170762779273	1	0	SAMN03098875
555	Desulfovibrio indicus	9.0	259615.0	3966573.0	6.545070518051729	1	0	SAMN04440740
556	Microbacterium chocolatum	8.0	203632.0	3117902.0	6.531058384772837	1	3	SAMN05003931
557	Azoarcus sp. CIB	10.0	343337.0	5257030.0	6.531007051510073	1	0	SAMN03342159
558	Pluralibacter gergoviae	11.0	358413.0	5489680.0	6.5288504976610655	2	0	SAMN03031196,SAMN05004741
559	Mycobacterium liflandii	23.0	404075.0	6208955.0	6.5079389365843365	1	1	SAMN02603618
560	Weeksella virosa	4.0	147884.0	2272954.0	6.506246936805584	1	0	SAMN00713585
561	Pseudoalteromonas luteoviolacea	5.5	160997.33333333334	3111096.1666666665	6.505515142370623	6	0	SAMN04508262,SAMN04508260,SAMN04508261
562	Planococcus antarcticus	9.0	244927.0	3765545.0	6.504423662444613	1	2	SAMN05366139
563	Paracoccus denitrificans	7.0	148077.0	2291189.5	6.501236963240849	2	1	SAMN02598290
564	Lactobacillus kefiranofaciens	7.0	137357.0	2113023.0	6.500497155023869	1	2	SAMN02603965
565	Clostridium sp. BNL1100	8.0	299535.0	4613747.0	6.492228550893667	1	0	SAMN02261430
566	Sphaerochaeta pleomorpha	6.0	232955.0	3590853.0	6.487455766081207	1	0	SAMN02261363
567	Mycoplasma gallisepticum	1.7272727272727273	62435.545454545456	968554.0909090909	6.486870250614669	13	0	SAMN02604154,SAMN02604155,SAMN02604081,SAMN02641558,SAMN02604156,SAMN02604157,SAMN02604158,SAMN02604159,SAMN02604160,SAMN02604161,SAMN02604162,SAMN02604163,SAMEA4384242
568	Thermus aquaticus	5.0	140025.0	2158963.0	6.4857526506938745	1	4	SAMN02441811
569	Acidipropionibacterium acidipropionici	9.8	237239.4	3657944.6	6.483564688785824	5	1	SAMN02603885,SAMN04230714,SAMN04455717,SAMN05017605,SAMN04230715
570	Staphylococcus condimenti	4.0	172646.5	2662663.0	6.482870507223082	2	1	SAMN04599314,SAMN06159561
571	Bacillus sp. OxB-1	7.0	232912.0	3594618.0	6.479464577320872	1	0	SAMD00061012
572	Rhodobacter sphaeroides	6.2727272727272725	135022.36363636365	2220808.1818181816	6.478168695131106	18	38	SAMN02598537,SAMN02598340,SAMN02598341,SAMN02603252,SAMN04032843,SAMN04590023,SAMN04590025,SAMN06641975,SAMN09479592,SAMN09867397
573	Marinilactibacillus sp. 15R	8.0	179153.0	2767908.0	6.472505589058596	1	0	SAMN05920238
574	Alkaliphilus metalliredigens	17.0	318913.0	4929566.0	6.469393045959827	1	0	SAMN02598282
575	Bacteroides cellulosilyticus	15.0	457884.0	7084828.0	6.462880961965484	1	0	SAMN03852682
576	Sphingobium indicum	9.0	236173.0	3654322.0	6.462840439348256	1	3	SAMN02471717
577	Weissella ceti	3.6666666666666665	89103.33333333333	1378587.6666666667	6.462824858370549	3	0	SAMN02716090,SAMN02947894,SAMN02947896
578	Selenomonas sp. oral taxon 920	4.0	153437.0	2374300.0	6.4624099734658635	1	1	SAMN05420587
579	Bacillus sp. SDLI1	6.0	266900.0	4134042.0	6.456151146988831	1	0	SAMN04330452
580	Staphylococcus epidermidis	7.0	168152.4	2579890.0	6.448706560292055	11	29	SAMN02603126,SAMN02603975,SAMEA3139103,SAMN02928813,SAMN02640609,SAMN07291625,SAMN07444319,SAMN03996299,SAMN03996306,SAMN09491332,SAMEA3982825
581	Hyphomicrobium denitrificans	8.0	240944.0	3723828.0	6.44526138907209	2	0	SAMN02598499,SAMN02598541
582	Rhodococcus jostii	22.0	502088.0	7804765.0	6.433095679370231	1	3	SAMN02604146
583	Xanthomonas axonopodis	12.5	336802.0	5258518.0	6.432584178198948	2	4	SAMN02603863,SAMN05722944
584	Microbulbifer thermotolerans	10.0	253205.0	3938396.0	6.429140188035942	1	0	SAMN04556710
585	Hahella chejuensis	24.0	463659.0	7215267.0	6.426082361193286	1	0	SAMN02603483
586	Bifidobacterium breve	7.5	149803.8	2327532.7	6.423017874094798	38	1	SAMN00100758,SAMN02604112,SAMN03081478,SAMN03081479,SAMN03081480,SAMN03081481,SAMN03081482,SAMN03081483,SAMD00061041,SAMN03271681,SAMN06240351,SAMN06827008,SAMN06827973,SAMN06827019,SAMN06827050,SAMN06827081,SAMN06827067,SAMN06827912,SAMN06827094,SAMN06827097,SAMN06827096,SAMN06827911,SAMN06827975,SAMN06828931,SAMN06829004,SAMN06827976,SAMN06829003,SAMN06828932,SAMN06829002,SAMN06827913,SAMN07160576,SAMN07160980,SAMN07160580,SAMN07160976,SAMN07160977,SAMN07160978,SAMN07160979,SAMN07160574
587	Fuerstia marisgermanicae	16.0	572961.0	8920478.0	6.422985405042196	1	0	SAMN05726332
588	Enterobacter sp. ODB01	10.0	290991.0	4534036.0	6.417924339374456	1	0	SAMN04624399
589	Thiolapillus brandeum	9.0	200622.0	3129662.0	6.410340797185127	1	2	SAMD00060997
590	Peptoniphilus sp. ING2-D1G	5.0	102643.0	1601846.0	6.407794507087448	1	0	SAMEA2681676
591	Deinococcus puniceus	7.0	190367.0	2971983.0	6.405386571861279	1	0	SAMN03285365
592	Bacillus cytotoxicus	13.0	261755.0	4087024.0	6.4045378740129735	11	18	SAMN02598310,SAMN07367963,SAMN07367962,SAMN07367961,SAMN07367959,SAMN07367958,SAMN07367964,SAMN07367960,SAMN07367956,SAMN07367955,SAMN07367957
593	Flavobacteriaceae bacterium 3519-10	5.0	177100.0	2768102.0	6.39788562704698	1	0	SAMN02604231
594	Alkaliphilus oremlandii	7.0	199719.0	3123558.0	6.393958428177098	1	0	SAMN00623039
595	Roseobacter denitrificans	10.0	264115.0	4133097.0	6.390244409942472	2	6	SAMN02602987,SAMN06173322
596	Shigella sp. PAMC 28760	15.0	291263.0	4558287.0	6.389746850077672	1	0	SAMN04548868
597	Pseudomonas monteilii	15.0	355022.6666666667	5553188.666666667	6.388733112295718	5	2	SAMN02641476,SAMN02641477,SAMN04158505,SAMN03996317,SAMN07411806
598	Ezakiella massiliensis	3.0	111161.0	1741785.0	6.382016150098893	1	0	SAMEA4554850
599	Salmonella enterica	11.728	304749.436	4759036.28	6.3812808606877836	472	422	SAMN02604315,SAMN02604095,SAMN02603109,SAMEA1705941,SAMEA1705927,SAMN02604316,SAMN02604062,SAMN02603245,SAMN02604141,SAMN02603951,SAMN02604067,SAMN02604064,SAMN02604068,SAMN02604065,SAMN02604137,SAMEA1705953,SAMEA2272777,SAMN02602988,SAMN00710608,SAMEA1705914,SAMEA3138382,SAMN02602986,SAMN00754430,SAMN02603101,SAMN02604223,SAMN02603149,SAMN05172397,SAMN05172398,SAMN01765627,SAMN01805325,SAMN01765628,SAMN01813481,SAMN01816117,SAMN01816118,SAMN01813482,SAMN01041143,SAMD00000683,SAMN01041170,SAMN01805317,SAMN01041085,SAMN00811241,SAMN01832085,SAMN02604233,SAMN02603210,SAMN01832089,SAMN01088008,SAMN01832088,SAMN01832087,SAMN02212496,SAMN01823701,SAMN02297856,SAMN01884234,SAMN02604282,SAMN02415193,SAMN02415150,SAMN01087969,SAMN01805318,SAMN01823705,SAMN01823736,SAMN01813424,SAMN01805326,SAMN01823732,SAMN01823726,SAMN01805327,SAMN01805331,SAMN01823721,SAMN01823720,SAMN01813420,SAMN01805332,SAMN01823716,SAMN01823711,SAMN01823712,SAMN01823708,SAMN01813417,SAMN01823751,SAMN01813431,SAMN01813419,SAMN01823707,SAMN01805328,SAMEA2272227,SAMEA2272504,SAMN02415169,SAMN02641385,SAMN02383555,SAMN01933202,SAMN02712059,SAMN02384313,SAMN02384316,SAMN02384317,SAMN02384318,SAMN02384189,SAMN02384167,SAMN02384166,SAMN02384164,SAMN02384163,SAMN02384162,SAMN02384161,SAMN02384207,SAMN02384169,SAMN02384220,SAMN02384208,SAMN02384194,SAMN02384195,SAMN02384193,SAMN02384206,SAMN02384212,SAMN02384315,SAMN02384187,SAMN02384209,SAMN02384250,SAMN02384160,SAMN02384191,SAMN02384178,SAMN02384174,SAMN02384173,SAMN02384172,SAMN02384171,SAMN02384176,SAMN02384177,SAMN02384168,SAMN02384321,SAMN02692256,SAMN02798502,SAMN02741042,SAMN02943517,SAMN02941163,SAMN02941164,SAMN02941165,SAMN02941166,SAMN02941167,SAMN02937349,SAMN02937348,SAMN02937350,SAMN02937351,SAMN02937347,SAMN02937352,SAMN02904629,SAMN03072812,SAMN02934521,SAMN02909989,SAMN03076563,SAMD00002684,SAMN02712195,SAMN02712196,SAMN02712197,SAMN02712198,SAMEA3106395,SAMN02712199,SAMN02712200,SAMN02716891,SAMN02716903,SAMN02716852,SAMN03568791,SAMN03653812,SAMEA2072815,SAMEA2156512,SAMEA2056951,SAMEA2072679,SAMEA2072817,SAMEA2072798,SAMEA2067822,SAMEA2150110,SAMEA1930246,SAMEA2072936,SAMEA2072498,SAMEA2072503,SAMEA2072494,SAMEA2072647,SAMEA2072789,SAMEA2072794,SAMEA2072495,SAMN03465493,SAMN03468068,SAMN03255434,SAMEA2155565,SAMN03744303,SAMN03795193,SAMN03765654,SAMN03140319,SAMN03959817,SAMN03959818,SAMEA1903846,SAMEA1930249,SAMEA2055444,SAMEA2058419,SAMEA2059020,SAMEA2072676,SAMEA2072788,SAMEA2072792,SAMEA2072793,SAMEA2072934,SAMEA2149950,SAMEA1904377,SAMEA2336231,SAMEA2336232,SAMEA1904401,SAMN04156749,SAMN04156727,SAMN04156715,SAMN04274532,SAMN04274533,SAMN03485833,SAMN03470707,SAMN03470763,SAMN03485849,SAMN03839051,SAMEA2517359,SAMN03837761,SAMN02261218,SAMEA3506109,SAMN03996249,SAMN03795199,SAMN03798428,SAMN04296382,SAMN02568587,SAMN04038553,SAMN02716853,SAMN02716855,SAMN02716860,SAMN02716850,SAMN02716848,SAMN02716849,SAMN02716851,SAMN02716856,SAMN02716879,SAMN02716858,SAMN02716880,SAMN02716867,SAMN02716861,SAMN02716863,SAMN02716871,SAMN02716878,SAMN02716877,SAMN02716865,SAMN02716869,SAMN03371466,SAMN03371464,SAMN03371465,SAMN03328998,SAMN04961653,SAMN04334633,SAMN04334629,SAMN04334672,SAMN05263553,SAMN05263538,SAMN05263504,SAMN05263513,SAMN05263546,SAMN05277890,SAMN05263516,SAMN04334642,SAMN05277889,SAMN05263515,SAMN05263514,SAMN05263517,SAMN04334640,SAMN04334653,SAMN03896006,SAMN04600271,SAMN05356919,SAMN05832872,SAMN05172400,SAMN05172402,SAMN05172401,SAMN03744300,SAMN04125698,SAMN04285042,SAMN04364590,SAMN03988471,SAMN05255999,SAMN02910521,SAMN05915911,SAMN06192066,SAMN01041081,SAMN05915913,SAMN05915912,SAMN04160831,SAMN05514141,SAMN05414452,SAMN04160812,SAMN04160822,SAMN04160810,SAMN04160803,SAMN04160814,SAMN04160805,SAMN04160823,SAMN04160821,SAMN04160815,SAMN04160824,SAMN04160800,SAMN04160817,SAMN04160826,SAMN04160827,SAMN04160802,SAMN04160829,SAMN06185755,SAMN04125827,SAMN04932651,SAMN03702839,SAMN03702837,SAMN06646159,SAMN02800603,SAMN06622672,SAMN04160808,SAMN04160828,SAMN06173325,SAMN06173326,SAMN06173334,SAMN06309456,SAMN04160801,SAMN04160825,SAMN04160806,SAMN04160804,SAMN04160813,SAMN04160830,SAMN05363482,SAMN07344413,SAMN04160816,SAMN06044996,SAMN06045033,SAMN06045055,SAMN06044997,SAMN06045126,SAMN06645218,SAMN07594151,SAMN05756207,SAMN05631013,SAMN07267217,SAMN07312412,SAMN07312417,SAMN07334225,SAMN07334224,SAMN07795410,SAMN07795414,SAMN04323527,SAMN06050726,SAMN06050728,SAMN06050729,SAMN06050730,SAMN06050731,SAMN06050732,SAMN06050735,SAMN06050736,SAMN06050737,SAMN06050738,SAMN06050725,SAMN06050727,SAMN06050733,SAMN02716872,SAMN02716873,SAMN02716875,SAMN02716882,SAMN02716884,SAMN02716885,SAMN02716887,SAMN02716888,SAMN02716889,SAMN07945789,SAMN06050734,SAMN04992706,SAMN07633032,SAMN06161238,SAMN04924824,SAMN04924825,SAMN03069713,SAMN03463818,SAMN08272061,SAMN08470240,SAMN08323710,SAMN04014872,SAMN08322104,SAMN06311389,SAMN06173333,SAMN06173332,SAMN06173330,SAMN08475067,SAMN08663433,SAMN08663434,SAMN08663446,SAMN08663444,SAMN06660623,SAMN08125530,SAMN08125528,SAMN08125532,SAMN08125531,SAMN08125525,SAMN08903186,SAMN02716886,SAMN02716890,SAMN08685598,SAMN01816110,SAMN05181543,SAMN04549535,SAMN04451263,SAMN00710627,SAMN04451264,SAMN05181544,SAMN09245755,SAMN09245760,SAMN09245756,SAMN09245758,SAMN08768800,SAMN08768763,SAMN07159261,SAMN09373897,SAMN09534371,SAMN09237643,SAMN09237642,SAMN09237641,SAMN09237640,SAMN09237639,SAMN09237638,SAMN06045011,SAMN06045071,SAMN06044983,SAMN06045066,SAMN06045063,SAMN06045028,SAMN06045182,SAMN06045172,SAMN06045239,SAMN06045068,SAMN06045123,SAMN06045069,SAMN06045089,SAMN06045121,SAMN06045058,SAMN06045193,SAMN06045076,SAMN09237646,SAMN04849646,SAMN07580859,SAMN07663062,SAMN07663064,SAMN07507058,SAMN07604329,SAMN04014968,SAMN03988299,SAMN03894186,SAMN08868707,SAMN08868685,SAMN08868674,SAMN09791879,SAMN09791878,SAMN09791862,SAMN07522555,SAMN00860590,SAMN10176433,SAMN10176436,SAMN10176435,SAMN10176521,SAMN10103914,SAMEA3468845,SAMEA3448233,SAMEA104087369,SAMEA104109193,SAMEA3109638,SAMEA2564024,SAMEA2564027,SAMEA2467787,SAMEA4557835,SAMEA4028443,SAMEA4557834,SAMEA4007821,SAMEA4017719,SAMEA4017717,SAMEA4007819,SAMEA4028433,SAMEA4012326,SAMEA4028451,SAMEA4028440,SAMEA4028434,SAMEA4028446,SAMEA4028441,SAMEA4028439,SAMEA4028447,SAMEA4886686
600	Meiothermus ruber	7.0	197538.0	3097457.0	6.377425094198241	1	0	SAMN00002601
601	Planococcus halocryophilus	6.0	218283.0	3424893.0	6.3734253887639705	1	0	SAMN05366366
602	Magnetospira sp. QH-2	17.0	256185.0	4021307.0	6.370689927429067	1	1	SAMEA3283111
603	Pseudomonas poae	11.0	351139.0	5512241.0	6.370167777497391	1	0	SAMN02603296
604	Arcanobacterium haemolyticum	7.0	126368.0	1986154.0	6.362447222118728	2	0	SAMN02598519,SAMEA4030753
605	Acinetobacter haemolyticus	12.0	218860.0	3442728.0	6.357167920323651	3	3	SAMN06166709,SAMN06066183,SAMN09630388
606	Rickettsia felis	7.0	94386.0	1485148.0	6.35532620317975	1	2	SAMN02603143
607	Fervidobacterium nodosum	7.0	123790.0	1948941.0	6.351654565222857	1	0	SAMN00623043
608	Hydrogenophaga sp. RAC07	9.0	296891.0	4674684.0	6.351038915143783	1	0	SAMN04909718
609	Cupriavidus gilardii	3.5	192031.5	2789371.5	6.3508439580942895	2	0	SAMN02665997
610	Pandoraea faecigallinarum	13.0	332525.0	5241671.0	6.343873928752873	1	2	SAMN03769594
611	Sulfurospirillum cavolei	5.0	171046.0	2698323.0	6.338974244373264	1	0	SAMD00023484
612	Mesorhizobium loti	16.0	444615.5	7021698.5	6.331018444565184	3	2	SAMN05217717,SAMD00061086
613	Bosea sp. PAMC 26642	14.0	348123.0	5503156.0	6.32587918641594	1	1	SAMN04451713
614	Sinorhizobium medicae	7.0	239192.0	3781904.0	6.324644940749422	1	3	SAMN02598363
615	Burkholderia sp. YI23	4.0	129225.0	2157956.3333333335	6.3198593528462546	3	3	SAMN02603681
616	Dietzia timorensis	8.0	227883.0	3607892.0	6.316236738793734	1	0	SAMN04219460
617	Paenibacillus mucilaginosus	11.666666666666666	551735.0	8740689.666666666	6.308981072694294	3	0	SAMN02603153,SAMN02603387,SAMN02603635
618	Anaerococcus sp. Marseille-P2765	10.0	131236.0	2080215.0	6.308770968385479	1	0	SAMEA4555797
619	Cyclobacterium marinum	11.0	392352.0	6221273.0	6.306619240145867	1	0	SAMN02261369
620	Moorea producens	29.0	609588.0	9673108.0	6.301883531125673	1	1	SAMN05826283
621	Burkholderia sp. PAMC 26561	3.5	125500.5	2504479.0	6.287042275299296	3	5	SAMN04453248
622	Oscillibacter valericigenes	19.0	276854.0	4410036.0	6.277817233238006	1	1	SAMD00061111
623	Turicibacter sp. H121	9.0	164245.0	2622031.0	6.264037305432316	1	0	SAMN04166238
624	Pseudomonas sp. TKP	12.0	438912.0	7012672.0	6.258841137871556	1	0	SAMN02389528
625	Prevotella denticola	8.0	183798.0	2937589.0	6.256763624863791	3	0	SAMN00031760,SAMN09781058
626	Geoalkalibacter subterraneus	7.0	217419.0	3475523.0	6.255720362086512	1	1	SAMN03096814
627	Sphingobium sp. SYK-6	11.0	262503.0	4199332.0	6.251065645678884	1	1	SAMD00061118
628	Neomicrococcus aestuarii	6.0	166763.0	2667837.0	6.250869149801881	1	0	SAMN05728458
629	Enterobacter kobei	16.0	304876.0	4880257.0	6.247130017947825	2	5	SAMN05581747,SAMN08027255
630	Shinella sp. HZN7	15.0	292175.0	4678597.0	6.244927699479138	1	12	SAMN04992853
631	Streptomyces sp. 4F	8.0	501793.0	8047771.0	6.235179902609058	1	0	SAMN04245816
632	Treponema brennaborense	9.0	190435.0	3055580.0	6.232368322871599	1	0	SAMN00713613
633	Bradyrhizobium oligotrophicum	11.0	514994.0	8264165.0	6.231651957578292	1	0	SAMD00061052
634	Prevotella sp. oral taxon 299	2.0	44227.0	709850.0	6.2304712263154185	1	1	SAMN02463807
635	Shewanella denitrificans	12.0	283093.0	4545906.0	6.227427491901504	1	0	SAMN02598300
636	Paenibacillus larvae	15.0	251961.0	4046337.0	6.226891136353695	9	13	SAMN02641512,SAMN06281678,SAMN06299282,SAMN06461926,SAMN06547380,SAMN06166872,SAMN06166976,SAMN06166977,SAMN06286564
637	Moraxella osloensis	8.0	151594.0	2434688.0	6.22642408390726	6	25	SAMN04435858,SAMD00048857,SAMN07501683,SAMN07501684,SAMN07501685,SAMN07498009
638	Thermosynechococcus elongatus	12.0	161358.0	2593857.0	6.220774699607573	1	0	SAMD00061106
639	Sphingobium japonicum	4.5	144808.0	2098357.0	6.203078231039585	2	3	SAMD00060927
640	Verminephrobacter eiseniae	13.0	345047.0	5566749.0	6.19835742549197	1	1	SAMN02598379
641	Brucella microti	6.0	97542.0	1668684.5	6.197907239749601	2	0	SAMN02603148
642	Yangia sp. CCB-MM3	3.0	95467.5	2187175.0	6.193385407556383	2	5	SAMN04450249
643	[Haemophilus] ducreyi	3.25	105380.58333333333	1686881.9166666667	6.190497977039379	13	0	SAMN02604087,SAMN04632439,SAMN04632440,SAMN04632441,SAMN04632442,SAMN04632443,SAMN04632444,SAMN04632445,SAMN04632446,SAMN04632447,SAMN04632448,SAMN04632449,SAMN06173310
644	Porphyrobacter sp. LM 6	6.0	184174.0	2979257.0	6.18187689078183	1	0	SAMN05714719
645	Marinithermus hydrothermalis	8.0	140115.0	2269167.0	6.174732842492421	1	0	SAMN00713602
646	Mycobacterium sp. YC-RL4	13.0	358172.0	5801417.0	6.173870969799275	1	1	SAMN04959083
647	Castellaniella defragrans	12.0	244035.0	3952818.0	6.1736968410890665	1	0	SAMEA3138971
648	Selenomonas ruminantium	10.0	185273.0	3003680.0	6.168200340915144	1	9	SAMD00061115
649	Streptomyces vietnamensis	20.0	546830.0	8867142.0	6.166925036274371	1	1	SAMN02730132
650	Rhodoplanes sp. Z2-YC6860	8.0	505277.0	8193889.0	6.166510188263473	1	0	SAMN04521129
651	Methylococcus capsulatus	12.0	203774.0	3304561.0	6.166446919878314	1	0	SAMN02603968
652	Syntrophobotulus glycolicus	8.0	210060.0	3406739.0	6.166013891877247	1	0	SAMN00216969
653	Pseudoalteromonas haloplanktis	4.0	102850.5	1925136.0	6.15966532536256	2	0	SAMEA3138224
654	Sulfurovum sp. NBC37-1	7.0	157802.0	2562277.0	6.158662783141714	1	0	SAMD00060915
655	[Eubacterium] sulci	4.0	106961.0	1739380.0	6.149375064678218	1	0	SAMN03704030
656	Pseudoalteromonas sp. SM9913	4.5	96570.5	2018835.5	6.146689153463584	2	0	SAMN02603856
657	Bordetella avium	3.0	229401.0	3732255.0	6.1464449776341645	1	0	SAMEA1705952
658	Burkholderia glumae	8.5	220063.16666666666	3518427.1666666665	6.1441930954053285	6	6	SAMN02603166,SAMN03081274,SAMN03012983
